BRAND,LIFESTAGE,PREMIUM_CUSTOMER,TOTAL_SALES,TOTAL_UNITS,UNIQUE_CUSTOMERS,TRANSACTIONS,BRAND_TOTAL_SALES,SEG_SHARE_OF_BRAND,AVG_SPEND_PER_CUSTOMER
Ccs,YOUNG FAMILIES,Premium,968.1,461,223,240,18078.9,0.05354861191776048,4.341255605381166
Ccs,YOUNG SINGLES/COUPLES,Budget,798.0,380,206,218,18078.9,0.04413985364153792,3.8737864077669903
Ccs,YOUNG SINGLES/COUPLES,Mainstream,850.5,405,211,222,18078.9,0.04704379138111278,4.030805687203792
Ccs,YOUNG SINGLES/COUPLES,Premium,564.9,269,146,154,18078.9,0.031246370077825526,3.8691780821917807
Cheetos,MIDAGE SINGLES/COUPLES,Budget,337.59999999999997,112,57,61,16884.5,0.019994669667446473,5.922807017543859
Cheetos,MIDAGE SINGLES/COUPLES,Mainstream,665.5,215,110,115,16884.5,0.039414847937457434,6.05
Cheetos,MIDAGE SINGLES/COUPLES,Premium,496.59999999999997,162,84,89,16884.5,0.029411590512008052,5.911904761904761
Cheetos,NEW FAMILIES,Budget,132.9,43,26,26,16884.5,0.007871124404039209,5.111538461538462
Cheetos,NEW FAMILIES,Mainstream,98.1,32,18,18,16884.5,0.005810062483342711,5.449999999999999
Cheetos,NEW FAMILIES,Premium,94.3,31,18,18,16884.5,0.005585003997749415,5.238888888888889
Cheetos,OLDER FAMILIES,Budget,1687.3999999999999,548,269,281,16884.5,0.09993781278687552,6.272862453531598
Cheetos,OLDER FAMILIES,Mainstream,1162.7,384,183,195,16884.5,0.06886197399982233,6.353551912568307
Cheetos,OLDER FAMILIES,Premium,836.0999999999999,277,130,139,16884.5,0.04951878942225117,6.4315384615384605
Cheetos,OLDER SINGLES/COUPLES,Budget,1113.2,364,182,191,16884.5,0.06593029109538334,6.116483516483517
Cheetos,OLDER SINGLES/COUPLES,Mainstream,1136.7,369,191,198,16884.5,0.06732210015102609,5.951308900523561
Cheetos,OLDER SINGLES/COUPLES,Premium,1140.7,369,186,191,16884.5,0.06755900382007167,6.132795698924731
Cheetos,RETIREES,Budget,877.1999999999999,289,151,156,16884.5,0.05195297462169445,5.809271523178808
Cheetos,RETIREES,Mainstream,1337.8,441,226,236,16884.5,0.07923243211229233,5.919469026548672
Cheetos,RETIREES,Premium,570.5,190,95,99,16884.5,0.03378838579762504,6.005263157894737
Cheetos,YOUNG FAMILIES,Budget,1296.3999999999999,423,211,218,16884.5,0.07678047913767064,6.144075829383886
Cheetos,YOUNG FAMILIES,Mainstream,1074.5,355,174,183,16884.5,0.06363824809736741,6.175287356321839
Cheetos,YOUNG FAMILIES,Premium,890.3,291,145,149,16884.5,0.05272883413781871,6.14
Cheetos,YOUNG SINGLES/COUPLES,Budget,626.9,208,117,118,16884.5,0.03712872753116764,5.358119658119658
Cheetos,YOUNG SINGLES/COUPLES,Mainstream,898.8,291,161,166,16884.5,0.05323225443454055,5.582608695652174
Cheetos,YOUNG SINGLES/COUPLES,Premium,410.29999999999995,136,79,80,16884.5,0.024300393852349784,5.193670886075949
Cheezels,MIDAGE SINGLES/COUPLES,Budget,612.3000000000001,139,71,74,40029.9,0.015296066190522586,8.623943661971833
Cheezels,MIDAGE SINGLES/COUPLES,Mainstream,2154.9,421,208,221,40029.9,0.053832260385361944,10.360096153846154
Cheezels,MIDAGE SINGLES/COUPLES,Premium,1313.4,286,143,148,40029.9,0.03281047417055751,9.184615384615386
Cheezels,NEW FAMILIES,Budget,360.6,86,46,46,40029.9,0.009008266320925109,7.839130434782609
Cheezels,NEW FAMILIES,Mainstream,343.8,78,43,43,40029.9,0.008588580036422775,7.995348837209303
Cheezels,NEW FAMILIES,Premium,293.7,73,37,40,40029.9,0.007337015580853311,7.937837837837837
Cheezels,OLDER FAMILIES,Budget,3723.0,842,401,426,40029.9,0.09300547840489234,9.28428927680798
Cheezels,OLDER FAMILIES,Mainstream,1806.9,413,202,214,40029.9,0.045138758777813585,8.945049504950495
Cheezels,OLDER FAMILIES,Premium,1473.0,338,164,172,40029.9,0.03679749387332969,8.981707317073171
Cheezels,OLDER SINGLES/COUPLES,Budget,2813.1,611,314,323,40029.9,0.0702749694603284,8.958917197452228
Cheezels,OLDER SINGLES/COUPLES,Mainstream,2438.4,556,291,301,40029.9,0.060914466436338834,8.37938144329897
Cheezels,OLDER SINGLES/COUPLES,Premium,3058.5,649,322,342,40029.9,0.0764053869732375,9.498447204968944
Cheezels,RETIREES,Budget,2388.9,493,259,264,40029.9,0.05967789077664446,9.223552123552125
Cheezels,RETIREES,Mainstream,3294.0,720,369,382,40029.9,0.08228848935420773,8.926829268292684
Cheezels,RETIREES,Premium,1878.9,413,217,221,40029.9,0.04693741428282359,8.65852534562212
Cheezels,YOUNG FAMILIES,Budget,2943.0,642,315,335,40029.9,0.07352004376728395,9.342857142857143
Cheezels,YOUNG FAMILIES,Mainstream,1947.0,442,216,228,40029.9,0.04863864261464555,9.01388888888889
Cheezels,YOUNG FAMILIES,Premium,1869.0,410,201,208,40029.9,0.04669009915088471,9.298507462686567
Cheezels,YOUNG SINGLES/COUPLES,Budget,1143.0,282,149,157,40029.9,0.02855365614203383,7.671140939597316
Cheezels,YOUNG SINGLES/COUPLES,Mainstream,3318.3,651,336,346,40029.9,0.08289553558714861,9.875892857142858
Cheezels,YOUNG SINGLES/COUPLES,Premium,856.2,202,110,111,40029.9,0.021389011713743977,7.783636363636364
Cobs,MIDAGE SINGLES/COUPLES,Budget,1311.0,345,166,180,70569.79999999999,0.018577351785041198,7.897590361445783
Cobs,MIDAGE SINGLES/COUPLES,Mainstream,3613.7999999999997,951,464,495,70569.79999999999,0.05120887405093964,7.788362068965517
Cobs,MIDAGE SINGLES/COUPLES,Premium,2071.0,545,264,286,70569.79999999999,0.029346831080717253,7.84469696969697
Cobs,NEW FAMILIES,Budget,877.8,231,118,124,70569.79999999999,0.012438748586505843,7.438983050847457
